epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,16659.2,1.2791,0.85955,0.01072,0.04107,0.76026,0.61774,0.65155,0.49125,1.12134,1.20764,0.0176,0.02778,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,17041.3,1.29122,0.87501,0.01072,0.04217,0.76928,0.60179,0.64972,0.49236,1.12012,1.21623,0.01768,0.028,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,17406.6,1.26725,0.86363,0.01104,0.04186,0.74756,0.61394,0.64461,0.49212,1.11928,1.21136,0.01774,0.02769,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,17753.1,1.27733,0.85696,0.01082,0.0415,0.73135,0.62267,0.64765,0.49523,1.11814,1.21332,0.01776,0.02773,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,18107.8,1.27676,0.86291,0.01064,0.041,0.72927,0.61162,0.64888,0.49699,1.11661,1.21253,0.01781,0.02757,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,18452.6,1.28036,0.85786,0.01063,0.04174,0.73714,0.61404,0.64897,0.49903,1.11458,1.20995,0.01783,0.02746,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,18795.2,1.2737,0.8534,0.01127,0.04194,0.73106,0.61845,0.64978,0.49877,1.11379,1.20234,0.01796,0.02737,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,19172,1.2609,0.85248,0.01155,0.0411,0.72915,0.62438,0.64544,0.49571,1.11363,1.20607,0.01803,0.02749,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,19549.3,1.27647,0.86254,0.01127,0.04159,0.73917,0.61888,0.64273,0.49456,1.11415,1.20803,0.01808,0.02715,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,19895.3,1.25436,0.83873,0.01091,0.04065,0.76284,0.6079,0.64449,0.49528,1.11238,1.21126,0.01802,0.02712,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,20240.7,1.276,0.84426,0.01096,0.04136,0.75619,0.61532,0.6468,0.49696,1.11124,1.21666,0.01806,0.02692,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,20582.3,1.26905,0.84602,0.01125,0.04155,0.72635,0.62971,0.64909,0.49869,1.11039,1.22135,0.0181,0.02697,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,20942.8,1.25441,0.84234,0.01099,0.04054,0.73272,0.62947,0.64875,0.49834,1.11029,1.22168,0.01807,0.02694,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,21323.3,1.27155,0.8323,0.0106,0.04086,0.72805,0.62373,0.64819,0.4975,1.11016,1.22388,0.01804,0.02709,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,21671.8,1.25909,0.82022,0.01094,0.03944,0.80468,0.59781,0.65024,0.49826,1.10957,1.22447,0.01806,0.02676,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,22080.4,1.24335,0.81122,0.01077,0.03942,0.8013,0.59914,0.65091,0.49938,1.10888,1.22241,0.01804,0.0267,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,22433.5,1.2484,0.81584,0.0108,0.03991,0.79689,0.60487,0.6512,0.49987,1.10812,1.22076,0.01804,0.02661,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,22822.5,1.25132,0.81343,0.01075,0.04016,0.72863,0.6262,0.65313,0.50114,1.10752,1.22307,0.01804,0.02685,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,23178.5,1.23744,0.80564,0.01034,0.03914,0.78136,0.60535,0.65279,0.50116,1.10691,1.224,0.01801,0.02683,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,23525.9,1.24498,0.80991,0.01057,0.0396,0.78435,0.60363,0.65194,0.50099,1.10656,1.22378,0.01802,0.02671,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,23875.1,1.23054,0.79624,0.01079,0.03864,0.78287,0.60122,0.65052,0.5006,1.10537,1.22527,0.01799,0.02661,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,24222.4,1.24402,0.80555,0.01105,0.0395,0.78908,0.59611,0.64855,0.49926,1.1055,1.22722,0.01801,0.0267,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,24573.6,1.24462,0.8108,0.01084,0.03951,0.78257,0.59974,0.64858,0.49946,1.10483,1.22697,0.01801,0.02652,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,24920.3,1.22487,0.79125,0.01073,0.03781,0.78319,0.60138,0.64948,0.49987,1.10477,1.22703,0.01799,0.02639,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,25295.2,1.24892,0.80583,0.01088,0.04006,0.77757,0.60348,0.64935,0.49999,1.10516,1.22729,0.01799,0.0263,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
